Date,Forecast_Sales,Forecast_Date,Creation_Time
2026-04-30,28434.76733124677,2025-01-27,2025-01-27 17:37:07
,14960.657832920171,2025-01-27,2025-01-27 17:38:08
,18847.30151130155,2025-01-27,2025-01-27 17:38:08
,27043.80687786847,2025-01-27,2025-01-27 17:38:08
,34299.24175373431,2025-01-27,2025-01-27 17:38:08
,35805.05085368028,2025-01-27,2025-01-27 17:38:08
,34378.17031006598,2025-01-27,2025-01-27 17:38:08
,21602.356127901672,2025-01-27,2025-01-27 17:38:08
,11725.105015597404,2025-01-27,2025-01-27 17:38:08
,11085.42493321803,2025-01-27,2025-01-27 17:38:08
,9418.362084068807,2025-01-27,2025-01-27 17:38:08
,9090.628989900471,2025-01-27,2025-01-27 17:38:08
,6700.810347771497,2025-01-27,2025-01-27 17:38:08
,16339.664520184017,2025-01-27,2025-01-27 17:38:08
,19795.01536140551,2025-01-27,2025-01-27 17:38:08
,28434.76733124677,2025-01-27,2025-01-27 17:38:08
,14960.657832920171,2025-01-27,2025-01-27 17:42:35
,18847.30151130155,2025-01-27,2025-01-27 17:42:35
,27043.80687786847,2025-01-27,2025-01-27 17:42:35
,34299.24175373431,2025-01-27,2025-01-27 17:42:35
,35805.05085368028,2025-01-27,2025-01-27 17:42:35
,34378.17031006598,2025-01-27,2025-01-27 17:42:35
,21602.356127901672,2025-01-27,2025-01-27 17:42:35
,11725.105015597404,2025-01-27,2025-01-27 17:42:35
,11085.42493321803,2025-01-27,2025-01-27 17:42:35
,9418.362084068807,2025-01-27,2025-01-27 17:42:35
,9090.628989900471,2025-01-27,2025-01-27 17:42:35
,6700.810347771497,2025-01-27,2025-01-27 17:42:35
,16339.664520184017,2025-01-27,2025-01-27 17:42:35
,19795.01536140551,2025-01-27,2025-01-27 17:42:35
,28434.76733124677,2025-01-27,2025-01-27 17:42:35
2026-04-30,28434.76733124677,2025-01-27,2025-01-27 17:46:05
2026-04-30,28434.76733124677,2025-01-27,2025-01-27 17:46:08
2026-04-30,28434.76733124677,2025-01-27,2025-01-27 17:47:37
2026-04-30,28434.76733124677,2025-01-27,2025-01-27 17:56:09
2026-04-30,28434.76733124677,2025-01-27,2025-01-27 17:56:34
2025-01-31,7520.161975466091,2025-01-28,2025-01-28 16:18:23
2025-02-28,15010.559629295363,2025-01-28,2025-01-28 16:18:23
2025-03-31,19350.994705064397,2025-01-28,2025-01-28 16:18:23
2025-04-30,27336.626476251102,2025-01-28,2025-01-28 16:18:23
2025-05-31,34612.47063066902,2025-01-28,2025-01-28 16:18:23
2025-06-30,36083.56864371247,2025-01-28,2025-01-28 16:18:23
2025-07-31,34644.086752757576,2025-01-28,2025-01-28 16:18:23
2025-08-31,22021.67710897766,2025-01-28,2025-01-28 16:18:23
2025-09-30,12222.827075766192,2025-01-28,2025-01-28 16:18:23
2025-10-31,11577.350146836794,2025-01-28,2025-01-28 16:18:23
2025-11-30,9892.219482714483,2025-01-28,2025-01-28 16:18:23
2025-12-31,9655.148177220133,2025-01-28,2025-01-28 16:18:23
2026-01-31,8927.901420018734,2025-01-28,2025-01-28 16:18:23
2026-02-28,16761.716193603963,2025-01-28,2025-01-28 16:18:23
2026-03-31,20757.58295356032,2025-01-28,2025-01-28 16:18:23
